date,Total Confirmed
01-Mar,3
02-Mar,5
03-Mar,6
04-Mar,28
05-Mar,30
06-Mar,31
07-Mar,34
08-Mar,39
09-Mar,46
10-Mar,58
11-Mar,60
12-Mar,74
13-Mar,81
14-Mar,84
15-Mar,110
16-Mar,114
17-Mar,137
18-Mar,151
19-Mar,173
20-Mar,273
21-Mar,283
22-Mar,360
23-Mar,433
24-Mar,519
25-Mar,606
26-Mar,694
27-Mar,724
28-Mar,909
29-Mar,1024
30-Mar,1251
31-Mar,1397
01-Apr,1834
02-Apr,2201
03-Apr,2415
04-Apr,3072
05-Apr,3577
06-Apr,4281
07-Apr,4789
08-Apr,5274
09-Apr,5865
10-Apr,6761
11-Apr,7529
